substance,interactant,niveau,description,conduite
INHIBITEURS PUISSANTS DU CYP3A4,ANTAGONISTES DES CANAUX CALCIQUES,PE,"Majoration des effets indésirables de l'antagoniste des canaux calciques, le plus souvent à type d'hypotension et d'oedèmes, notamment chez le sujet âgé.",ASDEC - PE Association déconseillée: - avec la lercanidipine. : - avec les autres antagonistes des canaux calciques. Surveillance clinique et adaptation posologique pendant le traitement par l'inhibiteur enzymatique et après son arrêt.
INHIBITEURS PUISSANTS DU CYP3A4,ANTISPASMODIQUES URINAIRES,PE,Risque de majoration des effets indésirables.,"CI - ASDEC - PE Contre-indication : - avec la darifénacine - avec la fésotérodine et la solifénacine, en cas d'insuffisance rénale ou hépatique, modérée à sévère. Association déconseillée : - avec la toltérodine : - avec la fésotérodine ou la solifénacine, chez le patient à fonction rénale et hépatique normales, réduire la dose à 4 mg ou 5 mg, respectivement, en cas d'association à un inhibiteur puissant du CYP3A4. A prendre en compte : - avec l'oxybutynine."
INHIBITEURS PUISSANTS DU CYP3A4,APIXABAN,AD,"Augmentation des concentrations plasmatiques de l'apixaban par l'inhibiteur, avec majoration du risque de saignement.",
INHIBITEURS PUISSANTS DU CYP3A4,BÉDAQUILINE,AD,Augmentation des concentrations plasmatiques de bédaquiline par diminution de son métabolisme hépatique par l'inhibiteur.,"Si l'association est nécessaire, une surveillance ECG plus fréquente et une surveillance des transaminases sont recommandées."
INHIBITEURS PUISSANTS DU CYP3A4,BORTEZOMIB,PE,"Risque de majoration des effets indésirables, notamment neurologiques, du bortezomib par diminution de son métabolisme.",Surveillance clinique et adaptation éventuelle de la posologie du bortezomib pendant la durée du traitement par l'inhibiteur enzymatique.
INHIBITEURS PUISSANTS DU CYP3A4,BOSENTAN,PE,"Risque majoré des effets indésirables du bosentan, notamment d'atteintes hépatiques, par diminution de son métabolisme par l'inhibiteur.",Surveillance clinique et biologique pendant l'association.
INHIBITEURS PUISSANTS DU CYP3A4,BRENTUXIMAB,APEC,"Augmentation des concentrations du métabolite actif du brentuximab, avec risque de neutropénie.",
INHIBITEURS PUISSANTS DU CYP3A4,CABAZITAXEL,PE,Risque de majoration des effets indésirables dose-dépendants du cabazitaxel par inhibition de son métabolisme par l'inhibiteur enzymatique.,Surveillance clinique et adaptation éventuelle de la posologie du cabazitaxel pendant le traitement par l'inhibiteur enzymatique.
INHIBITEURS PUISSANTS DU CYP3A4,COBICISTAT,APEC,Risque d'augmentation des concentrations plasmatiques du cobicistat ou de l'inhibiteur du CYP3A4.,"Pour connaître les risques et les niveaux de contrainte de chaque interaction, il convient de se reporter aux AMM specifiques à chaque spécialité."
INHIBITEURS PUISSANTS DU CYP3A4,"CORTICOÏDES MÉTABOLISÉS, NOTAMMENT INHALÉS",AD,"En cas d'utilisation prolongée par voie orale ou inhalée : augmentation des concentrations plasmatiques du corticoïde par diminution de son métabolisme hépatique par l'inhibiteur, avec risque d'apparition d'un syndrome cushingoïde voire d'une insuffisance surrénalienne.",Préférer un corticoïde non métabolisé.
INHIBITEURS PUISSANTS DU CYP3A4,DAPOXÉTINE,CI,"Risque de majoration des effets indésirables, notamment à type de vertiges ou de syncopes.",
INHIBITEURS PUISSANTS DU CYP3A4,DÉLAMANID,AD,"Risque majoré de troubles du rythme ventriculaires, notamment de torsades de pointes.","Si l'association ne peut être évitée, contrôle clinique et électrocardiographique régulier."
INHIBITEURS PUISSANTS DU CYP3A4,DISOPYRAMIDE,PE,Risque d'augmentation des effets indésirables du disopyramide par diminution de son métabolisme.,Surveillance clinique et adaptation éventuelle de la posologie du disopyramide.
INHIBITEURS PUISSANTS DU CYP3A4,DOCETAXEL,PE,Risque de majoration des effets indésirables dose-dépendants du docétaxel par inhibition de son métabolisme par l'inhibiteur enzymatique.,Surveillance clinique et adaptation éventuelle de la posologie du docétaxel pendant le traitement par l'inhibiteur enzymatique.
INHIBITEURS PUISSANTS DU CYP3A4,DOMPERIDONE,CI,Augmentation des concentrations plasmatiques de dompéridone par diminution de son métabolisme hépatique par l'inhibiteur.,
INHIBITEURS PUISSANTS DU CYP3A4,DRONEDARONE,CI,Augmentation importante des concentrations de dronédarone par diminution de son métabolisme.,
INHIBITEURS PUISSANTS DU CYP3A4,ÉLIGLUSTAT,CI,"Chez les patients ayant un génotype de métaboliseurs lents du CYP2D6, risque de majoration des effets indésirables de l'éliglustat.",
INHIBITEURS PUISSANTS DU CYP3A4,EPLERENONE,CI,"Risque d'augmentation des concentrations plasmatiques de l'éplérénone par l'inhibiteur et de ses effets indésirables, notamment l'hyperkaliémie.",
INHIBITEURS PUISSANTS DU CYP3A4,ESZOPICLONE,PE,Augmentation de l'effet sédatif de l'eszopiclone.,"CI - PE Contre-indication - chez les patients âgés En cas d'association chez les sujets non âgés, une réduction de la dose d'eszopiclone peut être nécessaire."
INHIBITEURS PUISSANTS DU CYP3A4,FENTANYL,PE,Risque d'augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par légère diminution de son métabolisme hépatique.,Surveillance clinique et adaptation éventuelle de la posologie de l'analgésique opiacé en cas de traitement par un inhibiteur puissant du CYP3A4.
INHIBITEURS PUISSANTS DU CYP3A4,GLASDÉGIB,AD,Risque de majoration des effets indésirables du glasdégib par diminution de son métabolisme.,"Si l'association ne peut être évitée, surveillance clinique étroite."
INHIBITEURS PUISSANTS DU CYP3A4,HALOFANTRINE,AD,"Risque majoré de troubles du rythme ventriculaires, notamment de torsades de pointes.","Si cela est possible, interrompre l'inhibiteur. Si l'association ne peut être évitée, contrôle préalable du QT et surveillance ECG monitorée."
INHIBITEURS PUISSANTS DU CYP3A4,IDÉLALISIB,APEC,Augmentation des concentrations plasmatiques d'idélalisib par diminution de son métabolisme hépatique par l'inhibiteur.,
INHIBITEURS PUISSANTS DU CYP3A4,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,APEC,Risque d'augmentation des concentrations plasmatiques de l'inhibiteur de protéase boosté par le ritonavir ou de l'inhibiteur du CYP3A4.,"Pour connaître les risques et les niveaux de contrainte de chaque inhibiteur de protéase boosté par le ritonavir avec les inhibiteurs puissants du CYP3A4, il convient de se reporter aux AMM spécifiques à chacun d'eux."
INHIBITEURS PUISSANTS DU CYP3A4,INHIBITEURS DE TYROSINE KINASES MÉTABOLISÉS,PE,Risque de majoration des effets indésirables de l'inhibiteur de tyrosine kinase par diminution de son métabolisme.,"ASDEC - PE Association déconseillée : - avec l'axitinib, le bosutinib, le cabozantinib, le céritinib, le cobimétinib, le dabrafenib, le dasatinib, l'entrectinib, le nilotinib, le sunitinib. - avec l'ibrutinib et le ribociclib: si l'association ne peut être évitée, surveillance clinique étroite et réduction de la dose pendant la durée de l'association voire interruption temporaire ou définitive. avec les autres ITK (sauf abrocitinib, osimertinib, tucatinib et vandétanib): Surveillance clinique."
INHIBITEURS PUISSANTS DU CYP3A4,IRINOTECAN,AD,Risque de majoration des effets indésirables de l'irinotécan par augmentation des concentrations plasmatiques de son métabolite actif.,
INHIBITEURS PUISSANTS DU CYP3A4,ISAVUCONAZOLE,PE,Augmentation des concentrations plasmatiques d'isavuconazole par diminution de son métabolisme hépatique par l'inhibiteur.,CI - PE Contre-indication: - avec le kétoconazole : - avec les autres inhibiteurs puissants du CYP3A4
INHIBITEURS PUISSANTS DU CYP3A4,IVABRADINE,CI,Augmentation des concentrations plasmatiques de l'ivabradine et par conséquent de ses effets indésirables (inhibition de son métabolisme hépatique par l'inhibiteur).,
INHIBITEURS PUISSANTS DU CYP3A4,IVACAFTOR (SEUL OU ASSOCIÉ),PE,"Augmentation des concentrations d'ivacaftor, avec risque de majoration des effets indésirables.",Se référer à l'AMM pour les adaptations posologiques.
INHIBITEURS PUISSANTS DU CYP3A4,LOMITAPIDE,CI,Augmentation des concentrations plasmatiques du lomitapide par diminution de son métabolisme hépatique par l'inhibiteur.,
INHIBITEURS PUISSANTS DU CYP3A4,LUMEFANTRINE,AD,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.","Si cela est possible, interrompre l'inhibiteur. Si l'association ne peut être évitée, contrôle préalable du QT et surveillance ECG monitorée."
INHIBITEURS PUISSANTS DU CYP3A4,LURASIDONE,CI,Augmentation des concentrations plasmatiques de la lurasidone par diminution de son métabolisme hépatique par l'inhibiteur.,
INHIBITEURS PUISSANTS DU CYP3A4,MARAVIROC,PE,Augmentation des concentrations de maraviroc par l'inhibiteur.,La dose de maraviroc doit être diminuée à 150 mg deux fois par jour en cas de co-administration avec cet inhibiteur. A l'exception du tipranavir boosté par ritonavir où la dose de maraviroc doit être de 300 mg deux fois par jour.
INHIBITEURS PUISSANTS DU CYP3A4,MIDAZOLAM,PE,"Augmentation des concentrations plasmatiques de midazolam par diminution de son métabolisme hépatique, avec majoration de la sédation.",ASDEC - PE Association déconseillée: - avec le midazolam per os avec : - avec le midazolam IV et sublingual Surveillance clinique et réduction de la posologie de midazolam en cas de traitement par l'inhibiteur.
INHIBITEURS PUISSANTS DU CYP3A4,MIDOSTAURINE,AD,Augmentation des effets indésirables de la midostaurine par l'inhibiteur.,"Si l'association ne peut être évitée, surveillance clinique étroite."
INHIBITEURS PUISSANTS DU CYP3A4,NALOXEGOL,CI,Augmentation très importante des concentrations du naloxegol par l'inhibiteur.,
INHIBITEURS PUISSANTS DU CYP3A4,OLAPARIB,AD,Augmentation des concentrations plasmatiques d'olaparib par l'inhibiteur.,"Si l'association ne peut être évitée, limiter la dose d'olaparib à 150 mg deux fois par jour."
INHIBITEURS PUISSANTS DU CYP3A4,OMBITASVIR + PARITAPRÉVIR,CI,Augmentation des concentrations plasmatiques de la bithérapie par diminution de son métabolisme hépatique par l'inhibiteur.,Contre-indication: - sauf avec le ritonavir.
INHIBITEURS PUISSANTS DU CYP3A4,OXYCODONE,AD,"Majoration des effets indésirables, notamment respiratoires, de l'oxycodone par diminution de son métabolisme par l'inhibiteur.",Surveillance clinique et adaptation éventuelle de la posologie de l'oxycodone pendant le traitement par l'inhibiteur et après son arrêt.
INHIBITEURS PUISSANTS DU CYP3A4,PANOBINOSTAT,PE,"Risque de majoration des effets indésirables, notamment cardiaques, du panobinostat par diminution de son métabolisme par l'inhibiteur.",Surveillance clinique et ECG. Débuter le traitement à dose réduite de moitié (10 mg).
INHIBITEURS PUISSANTS DU CYP3A4,PIMOZIDE,CI,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes.",
INHIBITEURS PUISSANTS DU CYP3A4,QUETIAPINE,CI,"Augmentation importante des concentrations de quétiapine, avec risque de surdosage.",
INHIBITEURS PUISSANTS DU CYP3A4,RANOLAZINE,CI,Augmentation des concentrations de ranolazine par diminution de son métabolisme par l'inhibiteur.,
INHIBITEURS PUISSANTS DU CYP3A4,RÉGORAFÉNIB,AD,Augmentation des concentrations plasmatiques de régorafenib par diminution de son métabolisme hépatique par l'inhibiteur.,
INHIBITEURS PUISSANTS DU CYP3A4,RIOCIGUAT,AD,Augmentation des concentrations plasmatiques de riociguat par diminution de son métabolisme hépatique par l'inhibiteur.,
INHIBITEURS PUISSANTS DU CYP3A4,RIVAROXABAN,AD,"Augmentation des concentrations plasmatiques de rivaroxaban, avec majoration du risque de saignement.",
INHIBITEURS PUISSANTS DU CYP3A4,SILODOSINE,AD,"Risque d'augmentation des effets indésirables de la silodosine par l'inhibiteur, notamment à type d'hypotension orthostatique.",
INHIBITEURS PUISSANTS DU CYP3A4,SIMVASTATINE,CI,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse par diminution du métabolisme de la simvastatine.,
INHIBITEURS PUISSANTS DU CYP3A4,SUBSTRATS À RISQUE DU CYP3A4,APEC,"Majoration des effets indésirables propres à chaque substrat, avec conséquences souvent sévères.",
INHIBITEURS PUISSANTS DU CYP3A4,SUFENTANIL,PE,Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.,Surveillance clinique et adaptation de la posologie de l'analgésique opiacé en cas de traitement par un inhibiteur puissant du CYP3A4.
INHIBITEURS PUISSANTS DU CYP3A4,TAMSULOSINE,AD,"Risque de majoration des effets indésirables de la tamsulosine, par inhibition de son métabolisme hépatique.",
INHIBITEURS PUISSANTS DU CYP3A4,TELITHROMYCINE,CI,"Risque de majoration des effets indésirables, notamment à type de troubles du rythme cardiaque.",chez le patient insuffisant rénal ou hépatique sévère.
INHIBITEURS PUISSANTS DU CYP3A4,TICAGRELOR,CI,Augmentation des concentrations plasmatiques de ticagrelor par diminution de son métabolisme hépatique par l'inhibiteur.,
INHIBITEURS PUISSANTS DU CYP3A4,TOLVAPTAN,PE,"Augmentation importante (entre 2 à 5 fois en moyenne) des concentrations de tolvaptan, avec risque de majoration importante des effets indésirables, notamment diurèse importante, déshydratation, insuffisance rénale aiguë.","Réduire la posologie des deux tiers aux trois quarts, selon la dose prescrite."
INHIBITEURS PUISSANTS DU CYP3A4,TRASTUZUMAB EMTANSINE,AD,"Augmentation des concentrations plasmatiques du DM1, un composant du trastuzumab emtansine, par inhibition de son métabolisme par l'inhibiteur.",
INHIBITEURS PUISSANTS DU CYP3A4,TRÉTINOÏNE,PE,"Décrit pour les antifongiques azolés Augmentation des concentrations de trétinoïne par diminution de son métabolisme, avec risque de majoration de sa toxicité (pseudo- tumor cerebrii, hypercalcémie…)",Adaptation de la posologie de la trétinoïne pendant le traitement par l'inhibiteur et après son arrêt.
INHIBITEURS PUISSANTS DU CYP3A4,VÉNÉTOCLAX,PE,"Augmentation très importante des concentrations de vénétoclax par diminution de son métabolisme hépatique, avec risque de majoration de la toxicité, notamment hématologique.",CI - PE Contre-indication : - pendant la phase de titration. : - réduction de posologie de 75% en phase de stabilisation.
INHIBITEURS PUISSANTS DU CYP3A4,VERAPAMIL,PE,"Bradycardie et/ou troubles de la conduction auriculo-ventriculaire, par diminution du métabolisme hépatique du vérapamil par l'inhibiteur.","Surveillance clinique et ECG. S'il y a lieu, adaptation de la posologie du vérapamil pendant le traitement par l'inhibiteur, et après son arrêt, le cas échéant."
INHIBITEURS PUISSANTS DU CYP3A4,VINCA-ALCALOÏDES CYTOTOXIQUES,AD,Risque de majoration de la toxicité de l'antimitotique par diminution de son métabolisme hépatique par l'inhibiteur.,"Si l'association ne peut être évitée, surveillance clinique et biologique étroite."
INHIBITEURS PUISSANTS DU CYP3A4,ZOLPIDEM,APEC,Légère augmentation de l'effet sédatif du zolpidem.,
INHIBITEURS PUISSANTS DU CYP3A4,ZOPICLONE,APEC,Légère augmentation de l'effet sédatif de la zopiclone.,
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,ANTIAGRÉGANTS PLAQUETTAIRES,APEC,Augmentation du risque hémorragique.,
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,ANTICOAGULANTS ORAUX,APEC,Augmentation du risque hémorragique.,
INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,ANTIDÉPRESSEURS IMIPRAMINIQUES,PE,Augmentation des concentrations plasmatiques de l'antidépresseur imipraminique avec risque de convulsions et augmentation des effets indésirables.,"Surveillance clinique accrue et, si nécessaire, adaptation posologique."
